,Açıklamalar,Tarih,Toplam Vaka,Günlük Vaka,Toplam_Hasta,Gunluk_Hasta,Toplam_Vefat,Gunluk_Vefat,Toplam_iyilesen,Gunluk_iyilesen,Toplam_Test,Gunluk_Test,YBU,Entube,Ağır Hasta,yatak_doluluk_orani,eriskin_yogun_bakim_doluluk_orani,ventilator_doluluk_orani
,,02.04.2020,18.135,,18.135,2.456,356,79,415,82,125.556,18.757,1.101,783,,,,
,,03.04.2020,20.921,,20.921,2.786,425,69,484,69,141.716,16.160,1.251,867,,,,
,,04.04.2020,23.934,,23.934,3.013,501,76,786,302,161.380,19.664,1.311,909,,,,
,,05.04.2020,27.069,,27.069,3.135,574,73,1.042,256,181.445,20.065,1.381,935,,,,
,,06.04.2020,30.217,,30.217,3.148,649,75,1.326,284,202.845,21.400,1.415,966,,,,
,,07.04.2020,34.109,,34.109,3.892,725,76,1.582,256,222.868,20.023,1.474,987,,,,
,,08.04.2020,38.226,,38.226,4.117,812,87,1.846,264,247.768,24.900,1.492,995,,,,
,,09.04.2020,42.282,,42.282,4.056,908,96,2.142,296,276.346,28.578,1.552,1.017,,,,
,,10.04.2020,47.029,,47.029,4.747,1.006,98,2.423,281,307.210,30.864,1.667,1.062,,,,
,,11.04.2020,52.167,,52.167,5.138,1.101,95,2.965,542,340.380,33.170,1.626,1.021,,,,
,,12.04.2020,56.956,,56.956,4.789,1.198,97,3.446,481,376.100,35.720,1.665,978,,,,
,,13.04.2020,61.049,,61.049,4.093,1.296,98,3.957,511,410.556,34.456,1.786,1.063,,,,
,,14.04.2020,65.111,,65.111,4.062,1.403,107,4.799,842,443.626,33.070,1.809,1.087,,,,
,,15.04.2020,69.392,,69.392,4.281,1.518,115,5.674,875,477.716,34.090,1.820,1.052,,,,
,,16.04.2020,74.193,,74.193,4.801,1.643,125,7.089,1.415,518.143,40.427,1.854,1.040,,,,
,,17.04.2020,78.546,,78.546,4.353,1.769,126,8.631,1.542,558.413,40.270,1.845,1.014,,,,
,,18.04.2020,82.329,,82.329,3.783,1.890,121,10.453,1.822,598.933,40.520,1.894,1.054,,,,
,,19.04.2020,86.306,,86.306,3.977,2.017,127,11.976,1.523,634.277,35.344,1.922,1.031,,,,
,,20.04.2020,90.980,,90.980,4.674,2.140,123,13.430,1.454,673.980,39.703,1.909,1.033,,,,
,,21.04.2020,95.591,,95.591,4.611,2.259,119,14.918,1.488,713.409,39.429,1.865,1.006,,,,
,,22.04.2020,98.674,,98.674,3.083,2.376,117,16.477,1.559,750.944,37.535,1.814,985,,,,
,,23.04.2020,101.790,,101.790,3.116,2.491,115,18.491,2.014,791.906,40.962,1.816,982,,,,
,,24.04.2020,104.912,,104.912,3.122,2.600,109,21.737,3.246,830.257,38.351,1.790,929,,,,
,,25.04.2020,107.773,,107.773,2.861,2.706,106,25.582,3.845,868.565,38.308,1.782,900,,,,
,,26.04.2020,110.130,,110.130,2.357,2.805,99,29.140,3.558,898.742,30.177,1.776,883,,,,
,,27.04.2020,112.261,,112.261,2.131,2.900,95,33.791,4.651,918.885,20.143,1.736,882,,,,
,,28.04.2020,114.653,,114.653,2.392,2.992,92,38.809,5.018,948.115,29.230,1.621,845,,,,
,,29.04.2020,117.589,,117.589,2.936,3.081,89,44.040,5.231,991.613,43.498,1.574,831,,,,
,,30.04.2020,120.204,,120.204,2.615,3.174,93,48.886,4.846,1.033.617,42.004,1.514,803,,,,
,,01.05.2020,122.392,,122.392,2.188,3.258,84,53.808,4.922,1.075.048,41.431,1.480,818,,,,
,,02.05.2020,124.375,,124.375,1.983,3.336,78,58.259,4.451,1.111.366,36.318,1.445,778,,,,
,,03.05.2020,126.045,,126.045,1.670,3.397,61,63.151,4.892,1.135.367,24.001,1.424,766,,,,
,,04.05.2020,127.659,,127.659,1.614,3.461,64,68.166,5.015,1.171.138,35.771,1.384,727,,,,
,,05.05.2020,129.491,,129.491,1.832,3.520,59,73.285,5.119,1.204.421,33.283,1.338,707,,,,
,,06.05.2020,131.744,,131.744,2.253,3.584,64,78.202,4.917,1.234.724,30.303,1.278,669,,,,
,,07.05.2020,133.721,,133.721,1.977,3.641,57,82.984,4.782,1.265.119,30.395,1.260,665,,,,
